[0.00s -> 2.30s]  three, two, four.
[7305.04s -> 7313.92s]  and I would think that the spectrum it's my dog it's my dog so you want me to put it down
[7315.52s -> 7323.04s]  don't put the dog down okay could you translate what's the dog today he's he's saying I hear a man's voice
[7324.64s -> 7333.20s]  that's right yeah no gender um it seems like the end of the spectral of the possibilities are
[7334.64s -> 7341.68s]  something less obviously like something I wanted the spectrum something less than the 3.495
[7341.68s -> 7348.80s]  percent budget and on the other end of the spectrum it's a I think what we've heard is a budget that
[7348.80s -> 7356.80s]  has a zero dollar increase over the prior year but those those are kind of the anchors of the spectrum
[7356.80s -> 7365.68s]  deposits I would suggest I would throw out to begin the discussion that you think about a middle
[7365.68s -> 7373.04s]  ground and that middle ground being something that achieves a zero percent increase in the middle
[7373.04s -> 7381.20s]  rate or as close to that as we can then and understanding the priorities of the day and covering
[7381.20s -> 7387.20s]  the priorities of the day without I think it was me who said trying to without impacting the day
[7387.20s -> 7398.08s]  today quality of the folks and I want to thank you for the opportunity I wanted to throw out one
[7398.08s -> 7404.24s]  thing for your consideration before you carry out a discussion which your board members may or
[7404.24s -> 7410.08s]  may not know about one of the most recent governors orders and I can't remember which number it was
[7410.08s -> 7417.68s]  there now 27 of them mandated that every town and Connecticut adopt some kind of a tax relief
[7417.68s -> 7424.72s]  program the there are two options that are offered one of them is a 90 day deferral on taxes
[7424.72s -> 7432.80s]  to qualify taxpayers the qualification is that anybody who can attest without much documentation
[7432.80s -> 7438.88s]  it's not difficult who can attest that they have they either have suffered or will suffer a 20%
[7438.88s -> 7445.68s]  drop in income due to the due to the pandemic shutdown and that would affect both our April
[7445.68s -> 7452.08s]  tax billings and our June tax billings and what that would do is for those qualified individuals it
[7452.08s -> 7458.96s]  would push the April billing due date back to August one and the June billing back to October one
[7458.96s -> 7465.44s]  the second of the options is reducing the annual interest rate that's charged by state law from
[7465.44s -> 7473.68s]  18% down to 3% that would be a 0.25% per month and again under the or under the governor's orders
[7473.68s -> 7480.72s]  every town must adopt one or the other or both of those things and the deadline for us to do this
[7481.36s -> 7491.12s]  is we have to notify the office about office of policy management by April 25 so this will be on
[7491.12s -> 7496.16s]  next week's Board of Selectment agenda so I want to get to be aware of that because that may
[7496.16s -> 7502.96s]  color your discussion as you debate the definition. Hey man if you don't have to comment but if people
[7502.96s -> 7508.96s]  can't pay their taxes now they're not going to be able to pay two payments in 90 days that's the
[7508.96s -> 7513.92s]  problem we're all talking about they're struggling to pay it now when a tenant normally gets behind
[7513.92s -> 7523.36s]  an event why are they going to be able to pay their rent twice in one month. All right. This would be
[7523.36s -> 7531.92s]  this would be available to landlords as well. Look at that that is a very important decision to be made
[7535.20s -> 7539.76s]  at the April 25 is there a Board of Selectment meeting on April 25th?
[7540.56s -> 7547.52s]  April 21st Tuesday. The deadlines of 25th but they'll be the board. Correct. Yeah.
[7548.72s -> 7558.96s]  I would encourage folks who are on this call again now are all 113 participants to dial in or
[7558.96s -> 7564.64s]  zoom in to that call because I think Nicky raised some points that are valid and need to be
[7564.72s -> 7571.84s]  considered in that discussion. Again the Board of Selectment is where folks would need to discuss
[7571.84s -> 7578.08s]  further the deadline that we have if they want to talk about it. The deadline that we the Board
[7578.08s -> 7583.84s]  of Finance have as the May 15th deadline. So that sounds like an important date for folks that
[7583.84s -> 7589.28s]  again April 21st the Board of Selectment meeting to get a service. It's very tough.
[7589.28s -> 7599.28s]  Can I just say Cynthia? I don't know how you got muted so I know I did it myself for a minute.
[7599.28s -> 7606.88s]  Okay. Okay. That's fine. I just dyed it. Well she'd think I did it. No, I didn't. I am
[7606.88s -> 7613.12s]  parent. I'm not that parent. All right. So try to come me back to what are we going to try to do.
[7613.12s -> 7619.20s]  Again I would put out there as a suggestion that we at least use for a target a budget
[7619.20s -> 7627.36s]  that results in a zero percent increase in knowledge. There'll be an increase in spending
[7627.36s -> 7632.48s]  but a zero percent increase in knowledge. And so with focusing again on the things that are
[7632.48s -> 7637.44s]  important, the agencies of the day, right? We want to make sure that we focus on health so the
[7637.44s -> 7644.16s]  health department gets fully funded. We want to make sure we focus issues from safety but not
[7644.88s -> 7652.24s]  anything so that would be the meeting and the fire department. And what obviously would have to also
[7652.24s -> 7659.76s]  take care of all of our contractual obligations for compensation and debt service. So choose that
[7659.76s -> 7666.16s]  it. I would suggest again just to get things up on the board to start talking about. We look at
[7666.16s -> 7673.36s]  that budget that we adopted back on March 10th and think about the following changes. And we'll go
[7673.36s -> 7682.48s]  around the board again, making a list of these possibilities. My, the first suggestion would be to
[7682.48s -> 7692.96s]  reduce debt service. And that's the department of 440 account 548. That's the general obligation
[7692.96s -> 7701.12s]  ban principle. We would reduce that by $250,000. Let's be clear. The reason why we have that
[7701.12s -> 7708.24s]  capability is that this board, being somewhat thoughtful three years ago, put a plan in place to
[7708.24s -> 7714.40s]  get rid of our short-term debt. So that's gone. And now we have very little of ban
[7716.64s -> 7723.20s]  without saying that we're not related to current construction. So we've opened ourselves up with some
[7723.20s -> 7730.88s]  flexibility to reduce the ban debt service and take advantage of what likely are going to be
[7730.88s -> 7738.72s]  very low long-term rates when we refinance in the July time thing. So the first item of possible
[7738.72s -> 7747.20s]  cut would be that 250,000 from debt service. Second suggestion perhaps would be to reduce
[7747.20s -> 7753.68s]  road construction. That's that's near and dear to all of us. We've had a plan in place for a long
[7753.68s -> 7759.92s]  time to try to get a regular rhythm to make sure that the town was never falling behind on road
[7759.92s -> 7767.36s]  repair. You know, I think as a lot of people have said, these are important times, difficult times.
[7768.24s -> 7774.40s]  And while the first item of the debt service might not have any real implications to the quality
[7774.48s -> 7782.00s]  of what the construction does, but it would be, again, an item that we would consider to kind of get
[7782.00s -> 7790.64s]  everybody on board with some further reductions. Are you making a motion? What's that?
[7790.64s -> 7794.88s]  I just want to know if there's going to be a motion or what are we're going to...
[7796.24s -> 7798.96s]  Are you making a motion to make that cut? That's all we know.
[7799.36s -> 7808.56s]  Just putting a look like we've got potential. Can I ask one question?
[7809.76s -> 7816.64s]  You said get to a 0% mill rate increase. Do we know what dollar amount decreased that is?
[7818.24s -> 7824.80s]  Yeah, I think what we've talked about before and Bob K, correct me if I'm wrong, we need to reduce
[7824.80s -> 7832.16s]  the current level of spending by $1,600,000. Yeah, that's what I figured out.
[7832.88s -> 7835.04s]  Can you say that number again, Bob? I couldn't hear you.
[7835.60s -> 7844.80s]  $1,605,000 was the spending cut we had talked about before to get us to this 0,
[7844.80s -> 7847.20s]  mill rate increase.
[7847.20s -> 7852.88s]  And then that's assuming the growth and the grand list was 973,000?
[7853.84s -> 7855.04s]  Yes, correct.
[7856.72s -> 7857.20s]  You got it.
[7860.08s -> 7867.20s]  Next item, the benefits line, and here are two, $200,000.
[7868.32s -> 7882.40s]  And in time, the department, 390 accounts, 5114, and 5115, those are the
[7882.40s -> 7888.08s]  pension accounts who vote the town and the police department. What we had done in the initial
[7888.08s -> 7896.56s]  budget was why to adopt the, actually early adopt, the revised standards for funding the pensions.
[7897.60s -> 7902.48s]  We through our pension advisor apparently have been told that nobody has early adopted
[7902.48s -> 7911.60s]  those new standards, and it seems like now we would continue to fund the pensions fully
[7911.60s -> 7919.04s]  under our base fund, and come out. We want to get ahead of the funding over funded as we
[7919.04s -> 7920.64s]  were hoping to do initially.
[7922.80s -> 7928.80s]  Hey, Bob, you didn't put a number on the roads. Did you just make sure you didn't have an idea
[7928.80s -> 7932.48s]  if you wanted to cut? I had a grain cramp, $200,000.
[7932.48s -> 7947.04s]  So 250 undead service, 200 on road construction, 200 on benefits, utilities. We would take that
[7947.04s -> 7954.96s]  down by 40,000. And again, that's by the benefit of realizing the solar farm output.
[7956.00s -> 7961.92s]  We had a study done from the person who kind of specializes in the area of that
[7962.56s -> 7969.04s]  solar farm, and the thinking there is we would be able to realize $40,000 of utility
[7971.04s -> 7972.56s]  and we're kind of all encompassing.
[7975.76s -> 7986.80s]  The next area is going to be probably the most controversial. We have spoken to a number of
[7986.80s -> 7998.96s]  folks out there. I'm not suggesting them, but it would be to cut to put them in operating budget
[7998.96s -> 8003.52s]  by $300,000. I'm sorry, Bob, how much?
[8004.24s -> 8006.40s]  $300,000.
[8006.56s -> 8020.16s]  And then the final item on this suggested list is to take $10,000 out of the contracted services,
[8020.16s -> 8025.44s]  building maintenance account, and that's the Department of 180 account 510.
[8025.92s -> 8036.16s]  If I do the math right on that list, that would be $1 million of cost takeouts.
[8038.56s -> 8043.92s]  Again, the Board of Ed one is the most controversial. We think the other ones are not
[8044.88s -> 8045.68s]  quality of life.
[8050.88s -> 8057.84s]  That's kind of my initial list. We can go around the horn again as to whether or not people.
[8057.84s -> 8060.32s]  That's a very good move at the Act of the In-House.
